,text,face
5738, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.8539, color #000000"
5739," CXLI, n. 7). —","Font: 'Times-Roman' (serifed, proportional), size 10.7918, color #000000"
5740, (Ţ).,"Font: 'Times-Roman' (serifed, proportional), size 10.8539, color #000000"
5741, Plante densément,"Font: 'QKXTUK+Times-Roman' (serifed, proportional), size 10.2671, color #000000"
5742,"villeuse-canescente, souvent multicaule,","Font: 'QKXTUK+Times-Roman' (serifed, proportional), size 10.8539, color #000000"
5743, jusqu'à 50 cm. Tiges dressées ou ascen-,"Font: 'QKXTUK+Times-Roman' (serifed, proportional), size 10.8539, color #000000"
5744,"dantes, souvent rameuses depuis la base. Feuilles","Font: 'Times-Roman' (serifed, proportional), size 10.8539, color #000000"
5745," linéaires-lancéolées,","Font: 'Times-Roman' (serifed, proportional), size 10.8539, color #000000"
5746, un peu char-,"Font: 'Times-Roman' (serifed, proportional), size 10.8743, color #000000"
5747,"nues, atteignant sur la tige et à la base des rameaux 15 mm., aiguës, fortement","Font: 'Times-Roman' (serifed, proportional), size 10.8539, color #000000"
5748,"villeuses, caduques après l'anthèse. Fleurs sessiles, en glomérules de 1-3, à l'aisselle","Font: 'Times-Roman' (serifed, proportional), size 10.8539, color #000000"
5749,"de feuilles florales, celles-ci les égalant ou les dépassant, 2 à 5 mm., et constituant","Font: 'Times-Roman' (serifed, proportional), size 10.8539, color #000000"
5750,420 ,"Font: 'Times-Roman' (serifed, proportional), size 10.8539, color #000000"
5751,NOUVELLE FLORE,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
5752,"des épis lâches. Périanthe fructifié à 5 épines jaunes, étalées, droites, bien plus","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
5753,longues que le disque.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5754,Floraison: mai-juin. Steppes.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5755,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5756, St.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5757," Qaryatein (Reese),","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
5758, Palmyre,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5759," (Mt, Pb).","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
5760,"Aire géogr. — Afrique du Nord,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5761," Egypte,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5762," Arabie Pétrée, Syrie.","Font: 'Times-Roman' (serifed, proportional), size 9.94867, color #000000"
5763,Bassia,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5764, erîophora,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
5765, (Schrad.) Kuntze —,"Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000"
5766, Kochia eriopkora,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5767," Schrad.,","Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
5768, K.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5769, latifolia,"Font: 'Times-Italic' (italic, serifed, proportional), size 11.274, color #000000"
5770,Fresen.,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
5771, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5772," CXLI,","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
5773, n. 5). —,"Font: 'Times-Roman' (serifed, proportional), size 10.9433, color #000000"
5774, ©.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5775," Tige rameuse dès la base, dressée ou ascendante,","Font: 'Times-Roman' (serifed, proportional), size 11.0076, color #000000"
5776,"de 10 à 30 cm. de long, hispide, à longs poils roussâtres ainsi que les feuilles. Feuilles","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5777,"linéaires, translucides, laissant apparaître par transparence un réseau de grosses","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5778,nervures opaques (caractère permettant de reconnaître la plante en échantillons,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5779,très jeunes). Fleurs glomérulées à l'aisselle des feuilles dès le premier tiers de la,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5780,"hauteur, revêtu de poils laineux accrescents, qui entourent bientôt et immergent","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5781,"toute l'inflorescence. Périanthe ainsi immergé doté d'épines subulées, assez longues.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5782,Floraison:,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5783, avril-juin.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5784, Steppes.,"Font: 'Times-Roman' (serifed, proportional), size 9.9926, color #000000"
5785,"S. Entre Deir 'Atiyé et Qaryatein (P), Ruines de Palmyre","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5786," (Bl),","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5787, entre Palmyre et Ezriyé (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000"
5788,Entre Meyyadine et Abou,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5789, Kemal,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5790, (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
5791,Aire géogr. —,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5792," Egypte,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5793," Palestine sud,","Font: 'Times-Roman' (serifed, proportional), size 9.94867, color #000000"
5794," TransJordanie,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5795," Iraq, Iran, Afghanistan, Bélouchistan,","Font: 'Times-Roman' (serifed, proportional), size 9.97437, color #000000"
5796,Turkestan.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5797,ARTHROCNEMUM Moq. —,"Font: 'Times-Roman' (serifed, proportional), size 9.99375, color #000000"
5798, Sous-arbrisseaux,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5799, ou arbrisseaux dressés ou,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
5800,"couchés puis redressés, paraissant aphylles,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5801," rameux,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5802, à rameaux articulés. Feuilles,"Font: 'Times-Roman' (serifed, proportional), size 10.9762, color #000000"
5803,"soudées aux articles, opposées, à pointe libre, très courte, concrescentes, formant","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5804,"une gaine au niveau des articulations. Épis terminaux et latéraux, à rachis excavé","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5805,"au niveau des fleurs, à excavations décussées. Fleurs hermaphrodites, ternées dans","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5806,"les excavations, non ou à peine connées. Périanthe fructifère renflé, ordinairement","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5807,"plus ou moins spongieux. Etamines 2. Akène inclus dans le périanthe, à péricarpe","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5808,"membraneux ou induré. Graine dressée, ovoïde, à tégument crustacé, lisse ou","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5809,verruqueux.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5810,Arthrocnemum,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5811, glaucum,"Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000"
5812, (Del.) Ung-Sternb. —,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
5813, Salicomia,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5814, glauca,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
5815, Del.,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
5816, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5817,"CXLII,","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
5818," n. 1). — 5. Racine ligneuse, épaisse. Tiges très rameuses, dressées ou","Font: 'Times-Roman' (serifed, proportional), size 10.9504, color #000000"
5819,"couchées, à rameaux dressés, formant un buisson dense, pouvant atteindre un mètre","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5820,"de haut. Parties herbacées vertes ou glauques, glabres. Rameaux articulés, à articles","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5821,"ordinairement très courts, mais pouvant atteindre 10 mm. Feuilles confondues avec","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5822,"les articles, à limbe réduit à une gaine bilobée. Épis dressés, terminaux et latéraux,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5823,formant un épi composé. Feuilles florales très courtes. Fleurs ternées dans une logette,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5824,"simple, égales. Périanthe 2-4 mm. de long.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5825, Etamines,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5826," 2. Graine verticale, oblongue,","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
5827,"brun-noir, luisante, verruqueuse sur le dos, finement réticulée sur les faces latérales.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5828,Floraison: avril-octobre. Salines et rivages marins.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5829,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5830, Ctlitt.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5831," Nord de Tyr (Mt), Bouar (Np, Mt, Pb),","Font: 'Times-Italic' (italic, serifed, proportional), size 10.0485, color #000000"
5832, Tiipoli-Marine,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5833, (Np). Toutes ces stations,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
5834,sont présumées détruites au cours des dernières années.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5835,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5836, Ctlitt.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5837, Jeblé,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
5838," (Pb), Lattaquié (Mt), Ras Chamra (Pb).","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
5839,"Aire géogr. — Europe méridionale, Macaronésie, Afrique du Nord,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5840," Egypte,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5841, Asie occidentale.,"Font: 'Times-Roman' (serifed, proportional), size 9.94867, color #000000"
5842,SALICORNIA,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5843," L. — Herbes ou sous-arbrisseaux charnus, glabres, paraissant","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
5844,"aphylles, à rameaux opposés, articulés, à articles dilatés au sommet, une gaine très","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5845,"courte représentant la partie libre des feuilles. Fleurs en épis terminaux, cylindriques.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5846,"Fleurs par 3-7, rarement solitaires à l'aisselle des feuilles florales, dans les aréoles","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5847,"formées par les excavations du disque. Fleurs hermaphrodites ou polygames, libres","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5848,NOUVELLE FLORE ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5849,421,"Font: 'Times-Roman' (serifed, proportional), size 8.74641, color #000000"
5850,"ou plus ou moins connées entre elles. Périanthe obpyramidal, charnu, excavé et","Font: 'Times-Roman' (serifed, proportional), size 8.74641, color #000000"
5851,"aplati en écusson parallèle au rachis, à 3-4 dents courtes, spongieux à la fructifi-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5852,"cation. Étamines 1-2. 2 stigmates subulés. Akène inclus dans le périanthe spongieux,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5853,"à péricarpe membraneux. Graine verticale, oblongue, couverte de poils uncinés.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5854,Salicornia fruticosa,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5855, L.,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
5856, (Arthr.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5857, fruticosum,"Font: 'Times-Italic' (italic, serifed, proportional), size 11.0351, color #000000"
5858, (L.) Moq.). — Plante indiquée dans,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
5859,les Flores,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5860," d'Egypte,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5861," et qui,","Font: 'Times-Roman' (serifed, proportional), size 11.0067, color #000000"
5862," semble-t-il,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5863, a été aussi trouvée en Palestine. Mais,"Font: 'Times-Roman' (serifed, proportional), size 10.97, color #000000"
5864,"jusqu'ici, elle n'a pas été authentiquement constatée au Liban et en Syrie.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5865," BOISSIER,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5866,"dans sa Flora Orientalis, l'indique, il est vrai, de la « Syrie littorale», mais en se","Font: 'Times-Roman' (serifed, proportional), size 8.65749, color #000000"
5867,référant à,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5868, RAUWOLF,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5869," ce qui remonte à un passé bien lointain, et n'a été, depuis le","Font: 'Times-Roman' (serifed, proportional), size 8.63024, color #000000"
5870,XVIII,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5871,e,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5872," siècle inclusivement, confirmé par aucune nouvelle récolte! De son","Font: 'Times-Roman' (superscript, serifed, proportional), size 7.11416, color #000000"
5873, côté*,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5874,DINSMORE,"Font: 'Times-Roman' (serifed, proportional), size 10.9038, color #000000"
5875, attribue à cette espèce une récolte de,"Font: 'Times-Roman' (serifed, proportional), size 8.6562, color #000000"
5876, POST,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5877," à Hammam-Abou-Rahba,","Font: 'Times-Roman' (serifed, proportional), size 8.45739, color #000000"
5878,"non présente sous ce nom à l'Herbier Post. Jusqu'à nouvelle information du moins,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5879,son nom ne doit donc pas figurer dans la liste des plantes libano-syriennes.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5880,Salicornia europaea,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5881, L.,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
5882, —,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5883, $. herbacea,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
5884, L.,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
5885, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5886," CXLII,","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
5887, n. 2).,"Font: 'Times-Roman' (serifed, proportional), size 10.9504, color #000000"
5888, —,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5889, ©.,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
5890, Plante,"Font: 'Times-Roman' (serifed, proportional), size 11.0076, color #000000"
5891,"dressée, à racine pivotante, 15-35 cm., rameuse dès la base. Épis floraux 8-50 mm.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5892,"de long, à 5-15 segments florifères. Fleurs ternées, subégales, écussons latéraux con-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5893,"tigus à la base seulement, l'écusson médian atteignant les 3/4 du segment. Périanthe","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5894,ovale. Ordinairement une seule,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5895," étamine,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5896," à anthère exserte, jaune. Graine grise,","Font: 'Times-Roman' (serifed, proportional), size 10.9495, color #000000"
5897,"dressée, pubescente par des poils fins.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5898,Fleurs: août-novembre. Salines.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5899,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5900, Dam.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5901, Salines de Jaïroud (Pb).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
5902, H.J.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5903, Entre Khatouniyé et Hassetché,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
5904," (Pb),","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5905, Source saline,"Font: 'Times-Roman' (serifed, proportional), size 9.88023, color #000000"
5906,près du Lac de,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5907, Khatouniyé*,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5908, (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.96885, color #000000"
5909,"Aire géogr. — Europe, Afrique du Nord,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5910," Egypte,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5911," Asie antérieure, Soungarie.","Font: 'Times-Roman' (serifed, proportional), size 9.94867, color #000000"
5912,MICROCNEMUM,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5913, Ung.-Sternb.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5914, — Genre voisin des,"Font: 'Times-Roman' (serifed, proportional), size 10.9555, color #000000"
5915," Salicornia,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5916, mais s'en,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
5917,distinguant par ses fleurs,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5918," petites,,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5919," libres, à périanthe membraneux. Fleur centrale","Font: 'Times-Roman' (serifed, proportional), size 10.9261, color #000000"
5920,de chaque,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5921, cyme,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5922," hermaphrodite, les latérales d'ordinaire ","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
5923,. Une seule étamine.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5924,"Graines à tégument noir, granuleux.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5925,Microcnemum,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5926, coralloides,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5927, (Loscos et Pardo) Font-Quer —,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
5928, Arthrocnemum,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5929,coralloides,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
5930," Loscos et Pardo,","Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
5931, M.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5932, fastigiatum,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
5933, Ung.-Sternb.,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
5934, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5935," CXLII,","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
5936, n. 3). —,"Font: 'Times-Roman' (serifed, proportional), size 10.9504, color #000000"
5937,"®. Plante naine, 5-10 cm. Tige dressée, simple, à articles relativement longs,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5938,"dépourvue de chlorophylle à la base, portant plus haut une ou deux paires de ra-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5939,"meaux opposés, dressés, florifères","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5940, au,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5941, sommet. Articles,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
5942, déçusses.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5943," Fleurs ternées, libres,","Font: 'Times-Roman' (serifed, proportional), size 10.895, color #000000"
5944,"non exsertes au-dessus de leur cupule, à une seule étamine. Graines lisses.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5945,Ssp.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5946, anatolicum,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5947," Wagenitz. — Graines papilleuses, surtout à la partie","Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000"
5948,supérieure.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5949, ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5950,:,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
5951,Floraison: sept.-nov. Salines.,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
5952,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5953, Dam.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5954," 'Adra,","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
5955, 23 juin 1953 (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 9.995, color #000000"
5956,Aire géogr. — Ssp.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5957, anatolicum,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5958, en Turquie à Tuz,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
5959, Gôlu,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5960," (Wagenitz, 6.10.1957). Forme-type:","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
5961,Espagne.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5962,La récolte de M.,"Font: 'Times-Roman' (serifed, proportional), size 9.95711, color #000000"
5963," PABOT,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5964," non fleurie, ne permet donc pas","Font: 'Times-Roman' (serifed, proportional), size 8.21471, color #000000"
5965, d'affirmer,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5966, avec une entière certitude,"Font: 'Times-Roman' (serifed, proportional), size 10.0439, color #000000"
5967,qu'il s'agit de la ssp. récemment décrite.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5968,C'est M. Anoir,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5969," KHATIB,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5970," botaniste syrien, qui a reconnu cette rareté parmi les trouvailles de","Font: 'Times-Roman' (serifed, proportional), size 8.1859, color #000000"
5971,M.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5972," PABOT,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5973," classement qu'il devait publier dans sa thèse: «Contribution à l'étude systématique,","Font: 'Times-Roman' (serifed, proportional), size 8.21471, color #000000"
5974,"anatomique, phylogénique et écologique des Chénopodiacées de la Syrie, Damas 1959». Mais c'est","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5975,à tort qu'il a cru pouvpir étendre cette détermination aux récoltes faites à Jaïroud et en Haute Jéziré,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5976,de l'espèce plus banale,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
5977, Salicornia europaea,"Font: 'Times-Roman' (serifed, proportional), size 10.0064, color #000000"
5978, L.,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.0064, color #000000"
5979,422 ,"Font: 'Times-Roman' (serifed, proportional), size 10.0064, color #000000"
5980,NOUVELLE FLORE,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
5981,HALOPEPLIS,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
5982, Bunge.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5983," — Herbes à rameaux articulés, noueux. Feuilles al-","Font: 'Times-Roman' (serifed, proportional), size 10.9387, color #000000"
5984,"ternes, les inférieures subopposées, courtes, charnues,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5985, amplexicaules.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5986, Fleurs ternées,"Font: 'Times-Roman' (serifed, proportional), size 10.9663, color #000000"
5987,"à l'aisselle des feuilles florales persistantes et concrescentes. Périanthe gamosépale,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5988,"comprimé,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5989," tétragone,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5990," élargi au sommet, pourvu de deux dents latérales et d'une","Font: 'Times-Roman' (serifed, proportional), size 10.9571, color #000000"
5991,postérieure. Étamines 1-2. Stigmates 2. Graine lisse ou papilleuse.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5992,Halopeplis amplexicaulis,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5993, (Vahl),"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
5994, Ung.-Sternb.,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
5995, —,"Font: 'Times-Roman' (serifed, proportional), size 10.9555, color #000000"
5996, Salicomia,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5997, amplexicaulis,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
5998,Vahl,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
5999, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
6000," CXLII,","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
6001," n, 4). —","Font: 'Times-Roman' (serifed, proportional), size 10.9504, color #000000"
6002, Q.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
